subject_area,subj_code,title,number,section_ids
Political Science,POL SCI,African Politics: Government and Politics of Africa,151A,{4295}
Political Science,POL SCI,African Politics: Political Economy of Africa,151B,{860}
Political Science,POL SCI,African Politics: Special Topics in African Politics: Lecture 1  ,151C,{5888068}
World Arts and Cultures,WL ARTS,Afro-Caribbean Ritual Arts,C139,{992}
Epidemiology,EPIDEM,AIDS: Major Public Health Challenge,227,{5885198}
Aerospace Studies,AERO ST,Air Force Leadership Studies,130B,{3109}
Atmospheric and Oceanic Sciences,A&O SCI,Air Pollution,2,"{5885290,3051}"
Atmospheric and Oceanic Sciences,A&O SCI,Air Pollution Laboratory,2L,"{268,5885275}"
Theater,THEATER,Alexander Technique,125A,"{1699,5881257}"
Music,MUSC,Alexander Technique,50,"{4911,5879102}"
Theater,THEATER,Alexander Techniques,426A,{5879119}
Mathematics,MATH,Algebra,110A,{1510}
Mathematics,MATH,Algebra,110B,"{2432,5881361}"
Mathematics,MATH,Algebra,110C,{5882834}
Mathematics,MATH,Algebra,210B,{4052}
Mathematics,MATH,Algebra,210C,{5881884}
Mathematics,MATH,Algebra for Applications,117,{5883647}
Mathematics,MATH,Algebra (Honors),110BH,"{2773,2935}"
Mathematics,MATH,Algebraic Topology,225C,{5882542}
Mathematics,MATH,Algebraic Topology,227B,{2087}
Mathematics,MATH,Algorithms,182,"{3876,5883645}"
Computer Science,COM SCI,Algorithms in Bioinformatics,CM122,{5879700}
Chemistry and Biochemistry,CHEM,Algorithms in Bioinformatics,CM160B,{5881663}
Computer Science,COM SCI,Algorithms in Bioinformatics,CM222,{5879314}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974",60B,{2545}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 1  ",60CW,{5879283}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 10  ",60CW,{5883537}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 11  ",60CW,{5884412}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 2  ",60CW,{5881389}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 3  ",60CW,{5884995}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 4  ",60CW,{5879354}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 5  ",60CW,{5884989}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 6  ",60CW,{5879373}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 7  ",60CW,{5883654}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 8  ",60CW,{5880640}
Clusters,CLUSTER,"America in Sixties: Politics, Society, and Culture, 1954 to 1974--Special Topics: Seminar 9  ",60CW,{5882071}
History,HIST,"American Economic History, 1910 to Present",141B,{3239}
English,ENGL,American Fiction since 1945,174B,"{949,11136861}"
Art History,ART HIS,American Houses,133E,{2009}
World Arts and Cultures,WL ARTS,American Indian Arts in Performance,C138,{5879462}
World Arts and Cultures,WL ARTS,American Indian Arts in Performance,C238,{5884941}
Linguistics,LING,American Indian Linguistics Seminar,265B,{655}
Linguistics,LING,American Indian Linguistics Seminar,265C,{5882261}
English,ENGL,"American Literature, 1776 to 1832",166B,{5883298}
English,ENGL,"American Literature, 1832 to 1865",166C,{5887561}
English,ENGL,"American Literature, 1865 to 1900",170A,"{1489,5886695}"
English,ENGL,American Poetry since 1945,173B,{5883347}
English,ENGL,American Poetry to 1900,167A,"{15096037,375}"
Political Science,POL SCI,American Political Development: Institutional Development: Lecture 1  ,147C,{3365}
Political Science,POL SCI,American Political Development: Period Inquiry: Lecture 1  ,147B,{5881324}
Public Policy,PUB PLC,American Political Institutions and Processes,202,{3000}
Political Science,POL SCI,"American Political Thought I, 1620 to 1865",114A,{10588301}
Political Science,POL SCI,"American Political Thought II, 1865 to Present",114B,{1989}
History,HIST,American Popular Culture,142D,{5879738}
Film and Television,FILM TV,American Television History,10A,{5882221}
History,HIST,American West,153,{5884968}
History,HIST,American Working Class Movements,146B,{182}
Electrical and Computer Engineering,EC ENGR,Analog Electronic Circuits I,115A,{5883279}
Electrical and Computer Engineering,EC ENGR,Analog Electronic Circuits II,115B,{3978}
Electrical and Computer Engineering,EC ENGR,Analog Electronics Laboratory I,115AL,{5880655}
Electrical and Computer Engineering,EC ENGR,Analog Microsystem Design,215D,{5882444}
Mathematics,MATH,Analysis,131A,"{3861,5885760,5885572,4188,5885694,3596,3598,5885655,5885515,4018,5885541,4130}"
Mathematics,MATH,Analysis,131B,"{5885528,5885504,3002,2510}"
Communication,COMM,Analysis and Briefing,104,{4329}
Electrical and Computer Engineering,EC ENGR,Analysis and Design of RF Circuits and Systems,215C,"{3505,5436}"
Music,MUSC,Analysis for Performers,202,{5881931}
Mathematics,MATH,Analysis (Honors),131AH,{4077}
Mathematics,MATH,Analysis (Honors),131BH,"{958,5881360}"
Nursing,NURSING,Analytical Methods for Evidence-Based Practice,404,{3706}
Physics,PHYSICS,Analytic Mechanics,105A,"{5245,5883813}"
Physics,PHYSICS,Analytic Mechanics,105B,{5886544}
Physiological Science,PHYSCI,Anatomy and Physiology of Sense Organs,173,{5879313}
Neuroscience (Graduate),NEURO,Anatomy of Central Nervous System,M203,{857}
Bioengineering,BIOENGR,Anatomy of Central Nervous System,M263,{3391}
Ancient Near East,AN N EA,Ancient Aliens: Immigration and Identity in Ancient World,98T,{5882935}
Anthropology,ANTHRO,Ancient Civilizations of Mesoamerica,114P,{5881626}
Classics,CLASSIC,Ancient Comedy,143B,{5878721}
Ancient Near East,AN N EA,Ancient Egyptian Religion,M130,{5886570}
"Religion, Study of",RELIGN,Ancient Egyptian Religion,M132,{5880408}
Classics,CLASSIC,Ancient Lives: Art of Biography,137,{2943}
Ecology and Evolutionary Biology,EE BIOL,Animal Behavior,129,{1706}
Ecology and Evolutionary Biology,EE BIOL,Animal Environmental Physiology,170,{2074}
Film and Television,FILM TV,Animation Workshop: Studio 1  ,C181C,{3163}
Film and Television,FILM TV,Animation Workshop: Studio 1  ,C481C,{3645}
Japanese,JAPAN,Anime,75,{5886025}
Oral Biology,ORL BIO,Anthropological Perspectives on Global Health: Implications for Oral Biology and Medicine,229B,{1624}
Anthropology,ANTHRO,Anthropology of Beauty,88S,{10588586}
Anthropology,ANTHRO,"Anthros and Indians: Racism, Colonialism, and Development of Anthropology in America",144R,{5887681}
Law,LAW,Antitrust Law I,240,{5886380}
Law,LAW,Appellate Advocacy: Moot Court Competition,762,{5885505}
Economics,ECON,Applications of Economic Theory: California Population Research Topical Seminar Series,204C,{5888259}
Economics,ECON,Applications of Economic Theory: California Population Research Topical Seminar Series,M204A,{1008}
Disability Studies,DIS STD,Applied Autism Intervention: Multidisciplinary Perspective,138SL,{850}
Biomathematics,BIOMATH,Applied Bayesian Inference,M234,{856}
Biostatistics,BIOSTAT,Applied Bayesian Inference,M234,{1132}
Bioinformatics (Graduate),BIOINFO,Applied Bioinformatics Lab for Biologists: Fundamentals,275A,"{15097201,4797}"
Bioinformatics (Graduate),BIOINFO,Applied Bioinformatics Lab for Biologists: Intermediate,275B,"{3417,15096363}"
Biomathematics,BIOMATH,Applied Data Collection and Analysis,264,{5882640}
Psychology,PSYCH,Applied Developmental Psychology: Preschool/School-Age Care and Education,134B,{2638}
Epidemiology,EPIDEM,Applied Epidemiologic Analysis,401,{15096541}
Epidemiology,EPIDEM,Applied Epidemiologic Research Using R,407B,{5885580}
"Earth, Planetary, and Space Sciences",EPS SCI,Applied Geophysics,136A,{2041}
Statistics,STATS,Applied Geostatistics,C173,{1377}
Statistics,STATS,Applied Geostatistics,C273,{2055}
Management,MGMT,Applied Management Research,445,{17367654}
Management-Full-Time MBA,MGMTFT,Applied Management Research: Two-Quarter Plan,423B,"{1190,3528589}"
Management-Full-Time MBA,MGMTFT,Applied Management Research: Two-Quarter Plan,423C,"{10587646,2561}"
Health Policy and Management,HLT POL,Applied Methods for Improvement/Implementation Science,215B,{5472}
Health Policy and Management,HLT POL,Applied Microeconomics,203B,{2471}
Biostatistics,BIOSTAT,Applied Multivariate Biostatistics,406,{5882574}
Electrical and Computer Engineering,EC ENGR,Applied Numerical Computing,133A,{733}
Civil and Environmental Engineering,C&EE,Applied Numerical Computing and Modeling in Civil and Environmental Engineering,103,{5882023}
Mathematics,MATH,Applied Numerical Methods,151A,"{5883678,5883656,4305,5332,4966}"
Mathematics,MATH,Applied Numerical Methods,151B,"{5885586,4089,5885500,5391,5284,5885527}"
Mathematics,MATH,Applied Partial Differential Equations,266B,{1496}
Mathematics,MATH,Applied Partial Differential Equations,266C,{5888464}
Linguistics,LING,Applied Phonology,119A,{5882265}
Public Policy,PUB PLC,Applied Policy Project II,298B,"{1654,1258,649,920}"
Public Policy,PUB PLC,Applied Policy Project III,298C,"{5880686,5880539,5880607,5880501}"
Psychiatry and Biobehavioral Sciences,PSYCTRY,Applied Positive Neuroscience: Skills for Improving Productivity and Wellbeing,79,{5884310}
Biomathematics,BIOMATH,Applied Regression Analysis in Medical Sciences,266A,{1719}
Chicana and Chicano Studies,CHICANO,Applied Research Methods in Latino Communities,123,{5475}
Statistics,STATS,Applied Sampling,C155,{1292}
Statistics,STATS,Applied Sampling,CM248,{1642}
Epidemiology,EPIDEM,Applied Sampling,M216,{1592}
Social Welfare,SOC WLF,Applied Statistics in Social Welfare,213B,{5887719}
Bioengineering,BIOENGR,Applied Tissue Engineering: Clinical and Industrial Perspective,C147,{5888414}
Bioengineering,BIOENGR,Applied Tissue Engineering: Clinical and Industrial Perspective,C247,{5886931}
Economics,ECON,Applied Value Investing,169,{5007}
English Composition,ENGCOMP,Apprenticeship in Composition Tutoring,175,"{4145,4475}"
Theater,THEATER,Approaches to History: Lecture 1  ,216B,{4902}
Theater,THEATER,Approaches to Interpretation of Theater and Performance: Global Perspective,11,"{5881937,5881958,5882009}"
Theater,THEATER,Approaches to Representation,216A,{5880379}
Political Science,POL SCI,"Approaches to Study of Race, Ethnicity, and Politics: Seminar 1  ",289A,{5882705}
English Composition,ENGCOMP,Approaches to University Writing,2,"{1524,2462,1519,2406,1358,1415,1863,5884530,1296}"
English Composition,ENGCOMP,Approaches to University Writing for Multilingual Students,2I,"{2770,5887673}"
Ecology and Evolutionary Biology,EE BIOL,Aquatic Communities,142,{5882917}
Islamic Studies,ISLM ST,Arabo-Islamic Sciences,201,{2134}
Anthropology,ANTHRO,Archaeological Landscapes of China,M116R,{2266}
Chinese,CHIN,Archaeological Landscapes of China,M183,{1753}
Ancient Near East,AN N EA,Archaeological Research Design,M201,{5879952}
Archaeology,ARCHEOL,Archaeological Research Design,M201C,{5882893}
Islamic Studies,ISLM ST,Archaeology and Art of Christian and Islamic Egypt,M112,{5888374}
Middle Eastern Studies,M E STD,Archaeology and Art of Christian and Islamic Egypt,M112,{5880505}
Art History,ART HIS,Archaeology and Art of Christian and Islamic Egypt,M119D,{5884667}
Ancient Near East,AN N EA,"Archaeology, Identity, and Bible",162,{5153}
Anthropology,ANTHRO,Archaeology: Introduction,2,{5884064}
Ancient Near East,AN N EA,Archaeology of Iran,CM163,{5878742}
Iranian,IRANIAN,Archaeology of Iran,CM163,{5886891}
Computer Science,COM SCI,Arithmetic Algorithms and Processors,252A,{3887}
History,HIST,"Armenian History: Armenia from Cilician Kingdom through Periods of Foreign Domination and National Stirrings, 11th to 19th Centuries",107B,{3616}
History,HIST,"Armenian History: Armenia in Ancient and Medieval Times, 2nd Millennium BC to AD 11th Century",107A,{397}
Political Science,POL SCI,Arms Control and International Security,125A,{5882796}
Military Science,MIL SCI,Army Officership and Communication,132,{3058}
Classics,CLASSIC,Art and Archaeology of Ancient Greece,51A,{1557}
Classics,CLASSIC,Art and Archaeology of Ancient Rome,51B,{5882571}
Film and Television,FILM TV,Art and Practice of Motion Picture Producing,146,{5880201}
Theater,THEATER,Art and Process of Entertainment Design,C146B,{5878946}
Theater,THEATER,Art and Process of Entertainment Design,C446A,{4930}
Theater,THEATER,Art and Process of Entertainment Design,C446B,{5880361}
Theater,THEATER,Art and Process of Entertainment Design: Lecture 1  ,C146A,{4386}
Law,LAW,Art & Cultural Property Law,301,{5881807}
Honors Collegium,HNRS,"Art, Entertainment, and Social Change",136,"{5881058,5881091}"
Art History,ART HIS,Art Historical Theories and Methodologies,200,{1445}
Theater,THEATER,Articulation and Body,25,{227}
Communication,COMM,Artificial Intelligence and New Media,155,"{3915,5882885}"
Computer Science,COM SCI,Artificial Life for Computer Graphics and Vision,275,{5882914}
Ethnomusicology,ETHNMUS,Artistry of J. Cole,88S,{10588198}
International and Area Studies,I A STD,Art of Citizen Diplomacy,111A,{1213}
Engineering,ENGR,Art of Engineering Endeavors,185EW,"{1030,5887508}"
Art History,ART HIS,Art of India and Southeast Asia,31,{5885881}
Music,MUSC,Art of Listening,15,{2209}
Armenian,ARMENIA,"Art, Politics, and Nationalism in Modern Armenian Literature",C153,{5880198}
Theater,THEATER,ArtsBridge Teaching Practicum,118D,{4211}
Arts Education,ARTS ED,Arts Education Undergraduate Practicum and Capstone Project,M192SL,"{5884522,1809}"
Education,EDUC,"Arts Education Undergraduate Practicum: Preparation, Observation, and Practice",M190,{2338}
Arts Education,ARTS ED,"Arts Education Undergraduate Practicum: Preparation, Observation, and Practice",M192,{2190}
Art History,ART HIS,Arts of Japan,30,{1088}
Arts Education,ARTS ED,"Arts Programs in Correctional Institutions: History, Theory, and Practice",105,{961}
Asian American Studies,ASIA AM,Asian American and Pacific Islander Leadership Development Project Part II: Field Studies,141B,{5884323}
Asian American Studies,ASIA AM,Asian American and Pacific Islander Leadership Development Project Part I: Leadership,141A,{2376}
Education,EDUC,Asian American Education and Schooling,M103,{1759}
Asian American Studies,ASIA AM,Asian American Literature and Culture,30W,{1382}
Asian American Studies,ASIA AM,Asian American Movement,40,{3815}
Asian American Studies,ASIA AM,Asian American Women,50,{4622}
Asian,ASIAN,Asian Foodways across Borders,135,{2235}
Nursing,NURSING,Assessment and Management in Pediatric Chronic Care,238B,{10588929}
Nursing,NURSING,Assessment and Management in Pediatric Healthcare III,238C,{4862}
Nursing,NURSING,Assessment and Management in Pediatric Primary Care,238A,{4777}
Economics,ECON,Asset Pricing,291A,{4861}
Astronomy,ASTR,Astronomy Research Project,277B,"{5315,5416,4858,4509}"
Astronomy,ASTR,"Astrophysics II: Stellar Evolution, Galaxies, and Cosmology",82,{5885729}
Astronomy,ASTR,Astrophysics I: Stars and Nebulae,81,{3308}
Atmospheric and Oceanic Sciences,A&O SCI,"Atmospheric Physics: Radiation, Clouds, and Aerosols",145,{4350}
Atmospheric and Oceanic Sciences,A&O SCI,Atmospheric Radiation,244A,{5879326}
Music Industry,MSC IND,Audio Technology for Musicians I,107A,{5887381}
Ethnomusicology,ETHNMUS,Audiovisual Archiving in 21st Century,C100,{1530}
Ethnomusicology,ETHNMUS,Audiovisual Archiving in 21st Century,C200,{4187}
Management,MGMT,Auditing,123,{5887187}
Theater,THEATER,Audition Preparation for Singing Actor,167B,{4179}
Neuroscience,NEUROSC,Auditory Neuroscience of Speech Perception and Vocal Communication,M176,{524}
Physiological Science,PHYSCI,Auditory Neuroscience of Speech Perception and Vocal Communication,M176,{2312}
Musicology,MUSCLG,Audit Seminar: Analytical/Repertoire Topics,246,{2475}
Musicology,MUSCLG,Audit Seminar: Theoretical Topics,251,{1207}
Education,EDUC,"Autism: Mind, Brain, and Education",132,{1152}
Iranian,IRANIAN,Bahá'í Faith in Iran: 20th Century Iran and the Bahá'ís,M105C,{5886831}
"Religion, Study of",RELIGN,Bahá'í Faith in Iran: 20th Century Iran and the Bahá'ís,M105C,{5887773}
Iranian,IRANIAN,Bahá'í Faith in Iran: Survey of Bahá'í Scriptures and Thought,M105B,{1126}
"Religion, Study of",RELIGN,Bahá'í Faith in Iran: Survey of Bahá'í Scriptures and Thought,M105B,{2226}
Chicana and Chicano Studies,CHICANO,Barrio Organization and Service Learning,100SL,{5880807}
Pathology and Laboratory Medicine,PATH,Basic Concepts in Oncology,294,{5882585}
Management,MGMT,Basic Managerial Finance,130A,"{5882848,5882747}"
Mechanical and Aerospace Engineering,MECH&AE,Basic Mechanical and Aerospace Engineering Laboratory,157,"{5881311,330,834,777}"
Military Science,MIL SCI,Basic Military Leadership,12,{66}
Psychology,PSYCH,Basic Processes of Motivated Behavior,112A,{2360}
Spanish,SPAN,Basque Language and Culture II,12B,{1721}
Spanish,SPAN,Basque Language and Culture III,12C,{5888228}
Musicology,MUSCLG,Beatles,68,{3014}
Dance,DANCE,Beginning Ballet: Studio 1  ,13,"{5885560,1889}"
Dance,DANCE,Beginning Improvisation in Dance,16,{2532}
